"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","학년","성별","왕복오래달리기(회)","오래달리기걷기(초)","스텝검사(PEI)","앉아윗몸앞으로굽히기(cm)","종합유연성(점)","(무릎대고)팔굽혀펴기(회)","윗몸말아올리기(회)","악력(kg)","50m달리기(초)","제자리멀리뛰기(cm)","BMI(kg/㎡)","체지방률(%fat)","인원","%","인원","%","인원","%","인원","%","인원","%","검사인원수"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","1학년","여자","28.9","8.53","","18.3","","37.1","","28.3","9.9","163.6","21.6","","6","6.9","45","51.7","32","36.8","3","3.4","1","1.1","87"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","2학년","남자","48.9","0.00","","12.2","","37.1","","","6.9","214.6","23.4","","5","4.5","32","29.1","43","39.1","29","26.4","1",".9","110"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","2학년","여자","26.2","0.00","","18.2","","38.7","","","","155.3","21.9","","0","0","47","50.5","38","40.9","8","8.6","0","0","93"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","3학년","남자","45.5","0.00","","14.2","","34.5","","","","","24.5","","0","0","10","9.2","35","32.1","48","44","16","14.7","109"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","3학년","여자","29.2","0.00","","18.7","","34.5","","","","","21.7","","0","0","9","10.3","44","50.6","32","36.8","2","2.3","87"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","1학년","남자","","8.47","","10.7","","","","39.9","8.4","207.9","24.2","","5","1.5","79","24.2","168","51.4","72","22","3",".9","327"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","2학년","남자","","9.059","","9.4","","","","41.1","","211","24.4","","3",".9","48","14.4","150","45","118","35.4","14","4.2","333"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","3학년","남자","","9.07","","7.4","","","","40.8","","200.1","25.5","","0","0","22","6.4","123","35.7","153","44.3","47","13.6","345"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","1학년","남자","72.3","0.00","","10.1","","","","43.9","","209.3","22.9","","8","8.2","51","52","33","33.7","6","6.1","0","0","98"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","1학년","여자","55","0.00","","19.7","","","","26","","166.5","20.8","","7","6.4","71","65.1","26","23.9","5","4.6","0","0","109"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","2학년","남자","72.1","0.00","","11.4","","","92","40.3","","183.5","24.5","","2","2","25","25.3","43","43.4","25","25.3","4","4","99"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","2학년","여자","50.6","0.00","","16.4","","","","25.3","","146.5","22.4","","4","3.5","41","36.3","53","46.9","14","12.4","1",".9","113"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","3학년","남자","81.6","0.00","","12","","","","43","","194","24.7","","2","2.1","20","21.3","50","53.2","20","21.3","2","2.1","94"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","3학년","여자","47.8","0.00","","13.1","","","","25","","126.3","22.6","","1","1","37","36.3","39","38.2","22","21.6","3","2.9","102"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","1학년","남자","","7.50","","14.5","","","","38.3","8","","23.9","","0","0","49","25.7","131","68.6","11","5.8","0","0","191"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","1학년","여자","0","7.50","","16.8","","","","24.9","9.4","","21.2","","3","2.4","61","48.8","54","43.2","7","5.6","0","0","125"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","2학년","남자","","7.50","","16.4","","","","39.5","8.2","","23.8","","0","0","41","21.4","127","66.1","24","12.5","0","0","192"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","2학년","여자","","8.42","","19.6","","","","25.9","9.9","","21","","0","0","33","23.9","100","72.5","5","3.6","0","0","138"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","3학년","남자","","7.50","","16.2","","","","40.3","7.8","","24.3","","0","0","42","20.2","146","70.2","20","9.6","0","0","208"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","3학년","여자","","7.50","","19.2","","","","25.7","10","","20.4","","1",".7","57","38.5","83","56.1","7","4.7","0","0","148"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","1학년","남자","35.6","0.00","","7.8","","","","43.4","8.3","","23.5","","4","1.2","59","18","158","48.2","92","28","15","4.6","328"
